DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
0010,Cholera due to vibrio cholerae,Cholera d/t vib cholerae
0011,Cholera due to vibrio cholerae el tor,Cholera d/t vib el tor
0019,"Cholera, unspecified",Cholera NOS
0020,Typhoid fever,Typhoid fever
0021,Paratyphoid fever A,Paratyphoid fever a
0022,Paratyphoid fever B ,Paratyphoid fever b
0023,Paratyphoid fever C,Paratyphoid fever c
0029,"Paratyphoid fever, unspecified",Paratyphoid fever NOS
0030,Salmonella gastroenteritis,Salmonella enteritis
0031,Salmonella septicemia,Salmonella septicemia
00320,"Localized salmonella infection, unspecified",Local salmonella inf NOS
00321,Salmonella meningitis,Salmonella meningitis
00322,Salmonella pneumonia,Salmonella pneumonia
00323,Salmonella arthritis,Salmonella arthritis
00324,Salmonella osteomyelitis,Salmonella osteomyelitis
00329,Other localized salmonella infections,Local salmonella inf NEC
0038,Other specified salmonella infections,Salmonella infection NEC
0039,"Salmonella infection, unspecified",Salmonella infection NOS
0040,Shigella dysenteriae,Shigella dysenteriae
0041,Shigella flexneri,Shigella flexneri
0042,Shigella boydii,Shigella boydii
0043,Shigella sonnei,Shigella sonnei
0048,Other specified shigella infections,Shigella infection NEC
0049,"Shigellosis, unspecified",Shigellosis NOS
0050,Staphylococcal food poisoning,Staph food poisoning
0051,Botulism food poisoning,Botulism food poisoning
0052,Food poisoning due to Clostridium perfringens (C. welchii),Food pois d/t c. perfrin
0053,Food poisoning due to other Clostridia,Food pois: clostrid NEC
0054,Food poisoning due to Vibrio parahaemolyticus,Food pois: v. parahaem
00581,Food poisoning due to Vibrio vulnificus,Food poisn d/t v. vulnif
00589,Other bacterial food poisoning,Bact food poisoning NEC
0059,"Food poisoning, unspecified",Food poisoning NOS
0060,Acute amebic dysentery without mention of abscess,Ac amebiasis w/o abscess
0061,Chronic intestinal amebiasis without mention of abscess,Chr amebiasis w/o absces
0062,Amebic nondysenteric colitis,Amebic nondysent colitis
0063,Amebic liver abscess,Amebic liver abscess
0064,Amebic lung abscess,Amebic lung abscess
0065,Amebic brain abscess,Amebic brain abscess
0066,Amebic skin ulceration,Amebic skin ulceration
0068,Amebic infection of other sites,Amebic infection NEC
0069,"Amebiasis, unspecified",Amebiasis NOS
0070,Balantidiasis,Balantidiasis
0071,Giardiasis,Giardiasis
0072,Coccidiosis,Coccidiosis
0073,Intestinal trichomoniasis,Intest trichomoniasis
0074,Cryptosporidiosis,Cryptosporidiosis
0075,Cyclosporiasis,Cyclosporiasis
0078,Other specified protozoal intestinal diseases,Protozoal intest dis NEC
0079,Unspecified protozoal intestinal disease,Protozoal intest dis NOS
00800,"Intestinal infection due to E. coli, unspecified",Intest infec e coli NOS
00801,Intestinal infection due to enteropathogenic E. coli,Int inf e coli entrpath
00802,Intestinal infection due to enterotoxigenic E. coli,Int inf e coli entrtoxgn
00803,Intestinal infection due to enteroinvasive E. coli,Int inf e coli entrnvsv
00804,Intestinal infection due to enterohemorrhagic E. coli,Int inf e coli entrhmrg
00809,Intestinal infection due to other intestinal E. coli infections,Int inf e coli spcf NEC
0081,Intestinal infection due to arizona group of paracolon bacilli,Arizona enteritis
0082,Intestinal infection due to aerobacter aerogenes,Aerobacter enteritis
0083,Intestinal infection due to proteus (mirabilis) (morganii),Proteus enteritis
00841,Intestinal infection due to staphylococcus,Staphylococc enteritis
00842,Intestinal infection due to pseudomonas,Pseudomonas enteritis
00843,Intestinal infection due to campylobacter,Int infec campylobacter
00844,Intestinal infection due to yersinia enterocolitica,Int inf yrsnia entrcltca
00845,Intestinal infection due to Clostridium difficile,Int inf clstrdium dfcile
00846,Intestinal infection due to other anaerobes,Intes infec oth anerobes
00847,Intestinal infection due to other gram-negative bacteria,Int inf oth grm neg bctr
00849,Intestinal infection due to other organisms,Bacterial enteritis NEC
0085,"Bacterial enteritis, unspecified",Bacterial enteritis NOS
00861,Enteritis due to rotavirus,Intes infec rotavirus
00862,Enteritis due to adenovirus,Intes infec adenovirus
00863,Enteritis due to norwalk virus,Int inf norwalk virus
00864,Enteritis due to other small round viruses [SRV's],Int inf oth sml rnd vrus
