NOTE: New codes are introduced in October and old codes are phased out in September.
'ICD-9-CM CODE','CCS CATEGORY','CCS CATEGORY DESCRIPTION','ICD-9-CM CODE DESCRIPTION','OPTIONAL CCS CATEGORY','OPTIONAL CCS CATEGORY DESCRIPTION'
'     ','0    ','No DX',"INVALID CODES IN USER DATA",' ',' '
'01000','1    ','Tuberculosis',"PRIM TB COMPLEX-UNSPEC",' ',' '
'01001','1    ','Tuberculosis',"PRIM TB COMPLEX-NO EXAM",' ',' '
'01002','1    ','Tuberculosis',"PRIM TB COMPLEX-EXM UNKN",' ',' '
'01003','1    ','Tuberculosis',"PRIM TB COMPLEX-MICRO DX",' ',' '
'01004','1    ','Tuberculosis',"PRIM TB COMPLEX-CULT DX",' ',' '
'01005','1    ','Tuberculosis',"PRIM TB COMPLEX-HISTO DX",' ',' '
'01006','1    ','Tuberculosis',"PRIM TB COMPLEX-OTH TEST",' ',' '
'01010','1    ','Tuberculosis',"PRIM TB PLEURISY-UNSPEC",' ',' '
'01011','1    ','Tuberculosis',"PRIM TB PLEURISY-NO EXAM",' ',' '
'01012','1    ','Tuberculosis',"PRIM TB PLEUR-EXAM UNKN",' ',' '
'01013','1    ','Tuberculosis',"PRIM TB PLEURIS-MICRO DX",' ',' '
'01014','1    ','Tuberculosis',"PRIM TB PLEURISY-CULT DX",' ',' '
'01015','1    ','Tuberculosis',"PRIM TB PLEURIS-HISTO DX",' ',' '
'01016','1    ','Tuberculosis',"PRIM TB PLEURIS-OTH TEST",' ',' '
'01080','1    ','Tuberculosis',"PRIM PROG TB NEC-UNSPEC",' ',' '
'01081','1    ','Tuberculosis',"PRIM PROG TB NEC-NO EXAM",' ',' '
'01082','1    ','Tuberculosis',"PRIM PR TB NEC-EXAM UNKN",' ',' '
'01083','1    ','Tuberculosis',"PRIM PRG TB NEC-MICRO DX",' ',' '
'01084','1    ','Tuberculosis',"PRIM PROG TB NEC-CULT DX",' ',' '
'01085','1    ','Tuberculosis',"PRIM PRG TB NEC-HISTO DX",' ',' '
'01086','1    ','Tuberculosis',"PRIM PRG TB NEC-OTH TEST",' ',' '
'01090','1    ','Tuberculosis',"PRIMARY TB NOS-UNSPEC",' ',' '
'01091','1    ','Tuberculosis',"PRIMARY TB NOS-NO EXAM",' ',' '
'01092','1    ','Tuberculosis',"PRIMARY TB NOS-EXAM UNKN",' ',' '
'01093','1    ','Tuberculosis',"PRIMARY TB NOS-MICRO DX",' ',' '
'01094','1    ','Tuberculosis',"PRIMARY TB NOS-CULT DX",' ',' '
'01095','1    ','Tuberculosis',"PRIMARY TB NOS-HISTO DX",' ',' '
'01096','1    ','Tuberculosis',"PRIMARY TB NOS-OTH TEST",' ',' '
'01100','1    ','Tuberculosis',"TB LUNG INFILTR-UNSPEC",' ',' '
'01101','1    ','Tuberculosis',"TB LUNG INFILTR-NO EXAM",' ',' '
'01102','1    ','Tuberculosis',"TB LUNG INFILTR-EXM UNKN",' ',' '
'01103','1    ','Tuberculosis',"TB LUNG INFILTR-MICRO DX",' ',' '
'01104','1    ','Tuberculosis',"TB LUNG INFILTR-CULT DX",' ',' '
'01105','1    ','Tuberculosis',"TB LUNG INFILTR-HISTO DX",' ',' '
'01106','1    ','Tuberculosis',"TB LUNG INFILTR-OTH TEST",' ',' '
'01110','1    ','Tuberculosis',"TB LUNG NODULAR-UNSPEC",' ',' '
'01111','1    ','Tuberculosis',"TB LUNG NODULAR-NO EXAM",' ',' '
'01112','1    ','Tuberculosis',"TB LUNG NODUL-EXAM UNKN",' ',' '
'01113','1    ','Tuberculosis',"TB LUNG NODULAR-MICRO DX",' ',' '
'01114','1    ','Tuberculosis',"TB LUNG NODULAR-CULT DX",' ',' '
'01115','1    ','Tuberculosis',"TB LUNG NODULAR-HISTO DX",' ',' '
'01116','1    ','Tuberculosis',"TB LUNG NODULAR-OTH TEST",' ',' '
'01120','1    ','Tuberculosis',"TB LUNG W CAVITY-UNSPEC",' ',' '
'01121','1    ','Tuberculosis',"TB LUNG W CAVITY-NO EXAM",' ',' '
'01122','1    ','Tuberculosis',"TB LUNG CAVITY-EXAM UNKN",' ',' '
'01123','1    ','Tuberculosis',"TB LUNG W CAVIT-MICRO DX",' ',' '
'01124','1    ','Tuberculosis',"TB LUNG W CAVITY-CULT DX",' ',' '
'01125','1    ','Tuberculosis',"TB LUNG W CAVIT-HISTO DX",' ',' '
'01126','1    ','Tuberculosis',"TB LUNG W CAVIT-OTH TEST",' ',' '
'01130','1    ','Tuberculosis',"TB OF BRONCHUS-UNSPEC",' ',' '
'01131','1    ','Tuberculosis',"TB OF BRONCHUS-NO EXAM",' ',' '
'01132','1    ','Tuberculosis',"TB OF BRONCHUS-EXAM UNKN",' ',' '
'01133','1    ','Tuberculosis',"TB OF BRONCHUS-MICRO DX",' ',' '
'01134','1    ','Tuberculosis',"TB OF BRONCHUS-CULT DX",' ',' '
'01135','1    ','Tuberculosis',"TB OF BRONCHUS-HISTO DX",' ',' '
'01136','1    ','Tuberculosis',"TB OF BRONCHUS-OTH TEST",' ',' '
'01140','1    ','Tuberculosis',"TB LUNG FIBROSIS-UNSPEC",' ',' '
'01141','1    ','Tuberculosis',"TB LUNG FIBROSIS-NO EXAM",' ',' '
'01142','1    ','Tuberculosis',"TB LUNG FIBROS-EXAM UNKN",' ',' '
'01143','1    ','Tuberculosis',"TB LUNG FIBROS-MICRO DX",' ',' '
'01144','1    ','Tuberculosis',"TB LUNG FIBROSIS-CULT DX",' ',' '
'01145','1    ','Tuberculosis',"TB LUNG FIBROS-HISTO DX",' ',' '
'01146','1    ','Tuberculosis',"TB LUNG FIBROS-OTH TEST",' ',' '
'01150','1    ','Tuberculosis',"TB BRONCHIECTASIS-UNSPEC",' ',' '
'01151','1    ','Tuberculosis',"TB BRONCHIECT-NO EXAM",' ',' '
'01152','1    ','Tuberculosis',"TB BRONCHIECT-EXAM UNKN",' ',' '
'01153','1    ','Tuberculosis',"TB BRONCHIECT-MICRO DX",' ',' '
'01154','1    ','Tuberculosis',"TB BRONCHIECT-CULT DX",' ',' '
'01155','1    ','Tuberculosis',"TB BRONCHIECT-HISTO DX",' ',' '
'01156','1    ','Tuberculosis',"TB BRONCHIECT-OTH TEST",' ',' '
'01160','1    ','Tuberculosis',"TB PNEUMONIA-UNSPEC",' ',' '
'01161','1    ','Tuberculosis',"TB PNEUMONIA-NO EXAM",' ',' '
'01162','1    ','Tuberculosis',"TB PNEUMONIA-EXAM UNKN",' ',' '
'01163','1    ','Tuberculosis',"TB PNEUMONIA-MICRO DX",' ',' '
'01164','1    ','Tuberculosis',"TB PNEUMONIA-CULT DX",' ',' '
'01165','1    ','Tuberculosis',"TB PNEUMONIA-HISTO DX",' ',' '
'01166','1    ','Tuberculosis',"TB PNEUMONIA-OTH TEST",' ',' '
'01170','1    ','Tuberculosis',"TB PNEUMOTHORAX-UNSPEC",' ',' '
'01171','1    ','Tuberculosis',"TB PNEUMOTHORAX-NO EXAM",' ',' '
'01172','1    ','Tuberculosis',"TB PNEUMOTHORX-EXAM UNKN",' ',' '
'01173','1    ','Tuberculosis',"TB PNEUMOTHORAX-MICRO DX",' ',' '
'01174','1    ','Tuberculosis',"TB PNEUMOTHORAX-CULT DX",' ',' '
'01175','1    ','Tuberculosis',"TB PNEUMOTHORAX-HISTO DX",' ',' '
'01176','1    ','Tuberculosis',"TB PNEUMOTHORAX-OTH TEST",' ',' '
'01180','1    ','Tuberculosis',"PULMONARY TB NEC-UNSPEC",' ',' '
'01181','1    ','Tuberculosis',"PULMONARY TB NEC-NO EXAM",' ',' '
'01182','1    ','Tuberculosis',"PULMON TB NEC-EXAM UNKN",' ',' '
'01183','1    ','Tuberculosis',"PULMON TB NEC-MICRO DX",' ',' '
'01184','1    ','Tuberculosis',"PULMON TB NEC-CULT DX",' ',' '
'01185','1    ','Tuberculosis',"PULMON TB NEC-HISTO DX",' ',' '
'01186','1    ','Tuberculosis',"PULMON TB NEC-OTH TEST",' ',' '
'01190','1    ','Tuberculosis',"PULMONARY TB NOS-UNSPEC",' ',' '
'01191','1    ','Tuberculosis',"PULMONARY TB NOS-NO EXAM",' ',' '
'01192','1    ','Tuberculosis',"PULMON TB NOS-EXAM UNKN",' ',' '
'01193','1    ','Tuberculosis',"PULMON TB NOS-MICRO DX",' ',' '
'01194','1    ','Tuberculosis',"PULMON TB NOS-CULT DX",' ',' '
