'ICD-9-CM CODE','CCS LVL 1','CCS LVL 1 LABEL','CCS LVL 2','CCS LVL 2 LABEL','CCS LVL 3','CCS LVL 3 LABEL'
'0121','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.1',"Craniotomy and craniectomy"
'0122','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.1',"Craniotomy and craniectomy"
'0123','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.1',"Craniotomy and craniectomy"
'0124','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.1',"Craniotomy and craniectomy"
'0125','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.1',"Craniotomy and craniectomy"
'0131','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.2',"Incision of cerebral meninges"
'0101','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0109','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0126','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0127','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0128','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0132','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0139','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0141','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0142','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0151','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0152','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0153','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0159','1',"Operations on the nervous system",'1.1',"Incision and excision of CNS [1.]",'1.1.3',"Other incision and excision of CNS"
'0231','1',"Operations on the nervous system",'1.2',"Insertion; replacement; or removal of extracranial ventricular shunt [2.]",' '," "
'0232','1',"Operations on the nervous system",'1.2',"Insertion; replacement; or removal of extracranial ventricular shunt [2.]",' '," "
